Lowest energy data for each cycleCycle	Lowest_Energy_REU
1 	 89.385 
2 	 74.612 
3 	 74.612 
4 	 72.269 
5 	 48.583 
6 	 48.583 
7 	 48.583 
8 	 48.583 
9 	 48.583 
10 	 48.583 
11 	 48.583 
12 	 48.583 
13 	 48.583 
14 	 48.583 
15 	 48.583 
16 	 48.583 
17 	 48.583 
18 	 48.583 
19 	 48.583 
20 	 47.400 
21 	 45.225 
22 	 45.225 
23 	 45.225 
24 	 45.225 
25 	 45.225 
26 	 45.225 
27 	 45.225 
28 	 45.225 
29 	 45.225 
30 	 45.225 
31 	 45.225 
32 	 45.225 
33 	 45.225 
34 	 45.225 
35 	 45.225 
36 	 45.225 
37 	 45.225 
38 	 45.225 
39 	 45.225 
40 	 45.225 
41 	 45.225 
42 	 45.225 
43 	 45.225 
44 	 45.225 
45 	 45.225 
46 	 45.225 
47 	 45.225 
48 	 45.225 
49 	 45.225 
50 	 45.225 
51 	 45.225 
52 	 45.225 
53 	 45.225 
54 	 45.225 
55 	 45.225 
56 	 45.225 
57 	 45.225 
58 	 45.225 
59 	 45.225 
60 	 45.225 
61 	 45.225 
62 	 45.225 
63 	 45.225 
64 	 45.225 
65 	 45.225 
66 	 44.551 
67 	 44.551 
68 	 44.551 
69 	 44.551 
70 	 44.551 
71 	 44.551 
72 	 44.551 
73 	 44.551 
74 	 44.551 
75 	 44.551 
76 	 44.551 
77 	 44.551 
78 	 44.551 
79 	 44.551 
80 	 44.551 
81 	 44.551 
82 	 44.551 
83 	 44.551 
84 	 44.551 
85 	 44.551 
86 	 44.551 
87 	 44.551 
88 	 44.551 
89 	 44.551 
90 	 44.551 
91 	 44.551 
92 	 44.551 
93 	 44.551 
94 	 44.551 
95 	 44.551 
96 	 44.551 
97 	 44.551 
98 	 44.551 
99 	 44.551 
100 	 44.551 
101 	 44.551 
102 	 44.551 
103 	 44.551 
104 	 44.551 
105 	 44.551 
106 	 44.551 
107 	 44.551 
108 	 44.551 
109 	 44.551 
110 	 44.551 
111 	 44.551 
112 	 44.551 
113 	 44.551 
114 	 44.551 
115 	 44.551 
116 	 44.551 
117 	 44.551 
118 	 44.551 
119 	 44.551 
120 	 44.551 
121 	 44.551 
122 	 44.551 
123 	 44.551 
124 	 44.551 
125 	 44.551 
126 	 44.551 
127 	 44.551 
128 	 44.551 
129 	 44.551 
130 	 44.551 
131 	 44.551 
132 	 44.551 
133 	 44.551 
134 	 44.551 
135 	 44.551 
136 	 44.551 
137 	 44.551 
138 	 44.551 
139 	 44.551 
140 	 44.551 
141 	 44.551 
142 	 44.551 
143 	 44.551 
144 	 44.551 
145 	 44.551 
146 	 44.551 
147 	 44.551 
148 	 44.551 
149 	 44.551 
150 	 44.551 
151 	 44.551 
152 	 44.551 
153 	 44.551 
154 	 44.551 
155 	 44.551 
156 	 44.551 
157 	 44.551 
158 	 44.551 
159 	 44.551 
160 	 44.551 
161 	 44.551 
162 	 44.551 
163 	 44.551 
164 	 44.551 
165 	 44.551 
166 	 44.551 
167 	 44.551 
168 	 44.551 
169 	 44.551 
170 	 44.551 
171 	 43.879 
172 	 43.879 
173 	 43.879 
174 	 43.879 
175 	 43.879 
176 	 43.879 
177 	 43.879 
178 	 43.879 
179 	 43.879 
180 	 43.879 
181 	 43.879 
182 	 43.879 
183 	 43.879 
184 	 43.879 
185 	 43.879 
186 	 43.879 
187 	 43.879 
188 	 43.879 
189 	 43.879 
190 	 43.879 
191 	 43.879 
192 	 43.879 
193 	 43.879 
194 	 43.879 
195 	 43.879 
196 	 43.879 
197 	 43.879 
198 	 43.879 
199 	 43.879 
200 	 43.879 
201 	 43.879 
202 	 43.879 
203 	 43.688 
204 	 43.688 
205 	 43.688 
206 	 43.688 
207 	 43.688 
208 	 43.688 
209 	 43.688 
210 	 43.688 
211 	 43.688 
212 	 43.688 
213 	 43.688 
214 	 43.688 
215 	 37.669 
216 	 37.669 
217 	 37.669 
218 	 37.669 
219 	 37.669 
220 	 37.669 
221 	 37.669 
222 	 37.669 
223 	 37.669 
224 	 37.669 
225 	 37.669 
226 	 37.669 
227 	 37.669 
228 	 37.669 
229 	 37.669 
230 	 37.669 
231 	 37.669 
232 	 37.669 
233 	 37.669 
234 	 37.669 
235 	 37.669 
236 	 37.669 
237 	 37.669 
238 	 37.669 
239 	 37.669 
240 	 37.669 
241 	 37.669 
242 	 37.669 
243 	 37.669 
244 	 37.669 
245 	 37.669 
246 	 37.669 
247 	 37.669 
248 	 36.877 
249 	 36.877 
250 	 36.877 
251 	 36.877 
252 	 36.877 
253 	 36.877 
254 	 36.877 
255 	 36.877 
256 	 36.877 
257 	 36.877 
258 	 36.877 
259 	 36.877 
260 	 36.877 
261 	 36.877 
262 	 36.877 
263 	 36.877 
264 	 36.877 
265 	 36.877 
266 	 36.877 
267 	 36.877 
268 	 36.877 
269 	 36.877 
270 	 36.877 
271 	 36.877 
272 	 36.877 
273 	 36.877 
274 	 36.877 
275 	 36.877 
276 	 36.877 
277 	 36.877 
278 	 36.877 
279 	 36.877 
280 	 36.877 
281 	 36.877 
282 	 36.877 
283 	 36.877 
284 	 36.877 
285 	 36.877 
286 	 36.877 
287 	 36.877 
288 	 36.877 
289 	 36.877 
290 	 36.877 
291 	 36.877 
292 	 36.877 
293 	 36.877 
294 	 36.877 
295 	 36.877 
296 	 36.877 
297 	 36.877 
298 	 36.877 
299 	 36.877 
300 	 36.877 
301 	 36.877 
302 	 36.877 
303 	 36.877 
304 	 36.877 
305 	 36.877 
306 	 36.877 
307 	 36.877 
308 	 36.877 
309 	 36.877 
310 	 36.877 
311 	 36.877 
312 	 36.877 
313 	 36.877 
314 	 36.877 
315 	 36.877 
316 	 36.877 
317 	 36.877 
318 	 36.877 
319 	 36.877 
320 	 36.877 
321 	 36.877 
322 	 36.877 
323 	 36.877 
324 	 36.877 
325 	 36.877 
326 	 36.877 
327 	 36.877 
328 	 36.877 
329 	 36.877 
330 	 36.877 
331 	 36.877 
332 	 36.877 
333 	 36.877 
334 	 36.877 
335 	 36.877 
336 	 36.877 
337 	 36.877 
338 	 36.877 
339 	 36.877 
340 	 36.877 
341 	 36.877 
342 	 36.877 
343 	 36.877 
344 	 36.877 
345 	 36.877 
346 	 36.877 
347 	 36.877 
348 	 36.877 
349 	 36.877 
350 	 36.877 
351 	 36.877 
352 	 36.877 
353 	 36.877 
354 	 36.877 
355 	 36.877 
356 	 36.877 
357 	 36.877 
358 	 36.877 
359 	 36.877 
360 	 36.877 
361 	 36.877 
362 	 36.877 
363 	 36.877 
364 	 36.877 
365 	 36.877 
366 	 36.877 
367 	 36.877 
368 	 36.877 
369 	 36.877 
370 	 36.877 
371 	 36.877 
372 	 36.877 
373 	 36.877 
374 	 36.877 
375 	 36.877 
376 	 36.877 
377 	 36.877 
378 	 36.877 
379 	 36.877 
380 	 36.877 
381 	 36.877 
382 	 36.877 
383 	 36.877 
384 	 36.877 
385 	 36.877 
386 	 36.877 
387 	 36.877 
388 	 36.877 
389 	 36.877 
390 	 36.877 
391 	 36.877 
392 	 36.877 
393 	 36.877 
394 	 36.877 
395 	 36.877 
396 	 36.877 
397 	 36.877 
398 	 36.877 
399 	 36.877 
400 	 36.877 
401 	 36.877 
402 	 36.877 
403 	 36.877 
404 	 36.877 
405 	 36.877 
406 	 36.877 
407 	 36.877 
408 	 36.877 
409 	 36.877 
410 	 36.877 
411 	 36.877 
412 	 36.877 
413 	 36.877 
414 	 36.877 
415 	 36.877 
416 	 36.877 
417 	 36.877 
418 	 36.877 
419 	 36.877 
420 	 36.877 
421 	 36.877 
422 	 36.877 
423 	 36.877 
424 	 36.877 
425 	 36.877 
426 	 36.877 
427 	 36.877 
428 	 36.877 
429 	 36.877 
430 	 36.877 
431 	 36.877 
432 	 36.877 
433 	 36.877 
434 	 36.877 
435 	 36.877 
436 	 36.877 
437 	 36.877 
438 	 36.877 
439 	 36.877 
440 	 36.877 
441 	 36.877 
442 	 36.877 
443 	 36.877 
444 	 36.877 
445 	 36.877 
446 	 36.877 
447 	 36.877 
448 	 36.877 
449 	 36.877 
450 	 36.877 
451 	 36.877 
452 	 36.877 
453 	 36.877 
454 	 36.877 
455 	 36.877 
456 	 36.877 
457 	 36.877 
458 	 36.877 
459 	 36.877 
460 	 36.877 
461 	 36.877 
462 	 36.877 
463 	 36.877 
464 	 36.877 
465 	 36.877 
466 	 36.877 
467 	 36.877 
468 	 36.877 
469 	 36.877 
470 	 36.877 
471 	 36.877 
472 	 36.877 
473 	 36.877 
474 	 36.877 
475 	 36.877 
476 	 36.877 
477 	 36.877 
478 	 36.877 
479 	 36.877 
480 	 36.877 
481 	 36.877 
482 	 36.618 
483 	 36.618 
484 	 36.618 
485 	 36.618 
486 	 36.618 
487 	 36.618 
488 	 36.618 
489 	 36.618 
490 	 36.618 
491 	 36.618 
492 	 36.618 
493 	 36.618 
494 	 36.618 
495 	 36.618 
496 	 36.618 
497 	 36.618 
498 	 36.618 
499 	 36.618 
500 	 36.618 
501 	 36.618 
502 	 36.618 
503 	 36.618 
504 	 36.618 
505 	 36.618 
506 	 36.618 
507 	 36.618 
508 	 36.618 
509 	 36.618 
510 	 36.618 
511 	 36.618 
512 	 36.618 
513 	 36.618 
514 	 36.618 
515 	 36.618 
516 	 36.618 
517 	 36.618 
518 	 36.618 
519 	 36.618 
520 	 36.618 
521 	 36.618 
522 	 36.618 
523 	 36.618 
524 	 36.618 
525 	 36.607 
526 	 36.607 
527 	 34.639 
528 	 34.639 
529 	 34.639 
530 	 34.639 
531 	 34.639 
532 	 34.639 
533 	 34.639 
534 	 34.639 
535 	 34.639 
536 	 34.639 
537 	 34.639 
538 	 34.639 
539 	 34.639 
540 	 34.639 
541 	 34.639 
542 	 34.639 
543 	 34.639 
544 	 34.639 
545 	 34.639 
546 	 34.639 
547 	 34.639 
548 	 34.639 
549 	 34.639 
550 	 34.639 
551 	 34.639 
552 	 34.639 
553 	 34.639 
554 	 34.639 
555 	 34.639 
556 	 34.639 
557 	 34.639 
558 	 34.639 
559 	 34.639 
560 	 34.639 
561 	 34.639 
562 	 34.639 
563 	 34.639 
564 	 34.639 
565 	 34.639 
566 	 34.639 
567 	 34.639 
568 	 34.639 
569 	 34.639 
570 	 34.639 
571 	 34.639 
572 	 34.639 
573 	 34.639 
574 	 34.639 
575 	 34.639 
576 	 34.639 
577 	 34.639 
578 	 34.639 
579 	 34.639 
580 	 34.639 
581 	 34.639 
582 	 34.639 
583 	 34.639 
584 	 34.639 
585 	 34.639 
586 	 34.639 
587 	 34.639 
588 	 34.639 
589 	 34.639 
590 	 34.639 
591 	 34.639 
592 	 34.639 
593 	 34.639 
594 	 34.639 
595 	 34.639 
596 	 34.639 
597 	 34.639 
598 	 34.639 
599 	 34.639 
600 	 34.639 
601 	 34.639 
602 	 34.639 
603 	 34.639 
604 	 34.639 
605 	 34.639 
606 	 34.639 
607 	 34.639 
608 	 34.639 
609 	 34.639 
610 	 34.639 
611 	 34.639 
612 	 34.639 
613 	 34.639 
614 	 34.639 
615 	 34.639 
616 	 34.639 
617 	 34.639 
618 	 34.639 
619 	 34.639 
620 	 34.639 
621 	 34.639 
622 	 34.639 
623 	 34.639 
624 	 34.639 
625 	 34.639 
626 	 34.639 
627 	 34.639 
628 	 34.639 
629 	 34.639 
630 	 34.639 
631 	 34.639 
632 	 34.639 
633 	 34.639 
634 	 34.639 
635 	 34.639 
636 	 34.639 
637 	 34.639 
638 	 34.639 
639 	 34.639 
640 	 34.639 
641 	 34.639 
642 	 34.639 
643 	 34.639 
644 	 34.639 
645 	 34.639 
646 	 34.639 
647 	 34.639 
648 	 34.639 
649 	 34.639 
650 	 34.639 
651 	 34.639 
652 	 34.639 
653 	 34.639 
654 	 34.639 
655 	 34.639 
656 	 34.639 
657 	 34.639 
658 	 34.639 
659 	 34.639 
660 	 34.639 
661 	 34.639 
662 	 34.639 
663 	 34.639 
664 	 34.639 
665 	 34.639 
666 	 34.639 
667 	 34.639 
668 	 34.639 
669 	 34.639 
670 	 34.639 
671 	 34.639 
672 	 34.639 
673 	 34.639 
674 	 34.639 
675 	 34.639 
676 	 34.639 
677 	 34.639 
678 	 34.639 
679 	 34.639 
680 	 34.639 
681 	 34.639 
682 	 34.639 
683 	 34.639 
684 	 34.639 
685 	 34.639 
686 	 34.639 
687 	 34.639 
688 	 34.639 
689 	 34.639 
690 	 34.639 
691 	 34.639 
692 	 34.639 
693 	 34.639 
694 	 34.639 
695 	 34.639 
696 	 34.639 
697 	 34.639 
698 	 34.639 
699 	 34.639 
700 	 34.639 
701 	 34.639 
702 	 34.639 
703 	 34.639 
704 	 34.639 
705 	 34.639 
706 	 34.639 
707 	 34.639 
708 	 34.639 
709 	 34.639 
710 	 34.639 
711 	 34.639 
712 	 34.639 
713 	 34.639 
714 	 34.639 
715 	 34.639 
716 	 34.639 
717 	 34.639 
718 	 34.639 
719 	 34.639 
720 	 34.639 
721 	 34.639 
722 	 34.639 
723 	 34.639 
724 	 34.639 
725 	 34.639 
726 	 34.639 
727 	 34.639 
728 	 34.639 
729 	 34.639 
730 	 34.639 
731 	 34.639 
732 	 34.639 
733 	 34.639 
734 	 34.639 
735 	 34.639 
736 	 34.639 
737 	 34.639 
738 	 34.639 
739 	 34.639 
740 	 34.639 
741 	 34.639 
742 	 34.639 
743 	 34.639 
744 	 34.639 
745 	 34.639 
746 	 34.639 
747 	 34.639 
748 	 34.639 
749 	 34.639 
750 	 34.639 
751 	 34.639 
752 	 34.639 
753 	 34.639 
754 	 34.639 
755 	 34.639 
756 	 34.639 
757 	 34.639 
758 	 34.639 
759 	 34.639 
760 	 34.639 
761 	 34.639 
762 	 34.639 
763 	 34.639 
764 	 34.639 
765 	 34.639 
766 	 34.639 
767 	 34.639 
768 	 34.639 
769 	 34.639 
770 	 34.639 
771 	 34.639 
772 	 34.639 
773 	 34.639 
774 	 34.639 
775 	 34.639 
776 	 34.639 
777 	 34.639 
778 	 34.639 
779 	 34.639 
780 	 34.639 
781 	 34.639 
782 	 34.639 
783 	 34.639 
784 	 34.639 
785 	 34.639 
786 	 34.639 
787 	 34.639 
788 	 34.639 
789 	 34.639 
790 	 34.639 
791 	 34.639 
792 	 34.639 
793 	 34.639 
794 	 34.639 
795 	 34.639 
796 	 34.639 
797 	 34.639 
798 	 34.639 
799 	 34.639 
800 	 34.639 
801 	 34.639 
802 	 34.639 
803 	 34.639 
804 	 34.639 
805 	 34.639 
806 	 34.639 
807 	 34.639 
808 	 34.639 
809 	 34.639 
810 	 34.639 
811 	 34.639 
812 	 34.639 
813 	 34.639 
814 	 34.639 
815 	 34.639 
816 	 34.639 
817 	 34.639 
818 	 34.639 
819 	 34.639 
820 	 34.639 
821 	 34.639 
822 	 34.639 
823 	 34.639 
824 	 34.639 
825 	 34.639 
826 	 34.639 
827 	 34.639 
828 	 34.639 
829 	 34.639 
830 	 34.639 
831 	 34.639 
832 	 34.639 
833 	 34.639 
834 	 34.639 
835 	 34.639 
836 	 34.639 
837 	 34.639 
838 	 34.639 
839 	 34.639 
840 	 34.639 
841 	 34.639 
842 	 34.639 
843 	 34.639 
844 	 34.639 
845 	 34.639 
846 	 34.639 
847 	 34.639 
848 	 34.639 
849 	 34.639 
850 	 34.639 
851 	 34.639 
852 	 34.639 
853 	 34.639 
854 	 34.639 
855 	 34.639 
856 	 34.639 
857 	 34.639 
858 	 34.639 
859 	 34.639 
860 	 34.639 
861 	 34.639 
862 	 34.639 
863 	 34.639 
864 	 34.639 
865 	 34.639 
866 	 34.639 
867 	 34.639 
868 	 34.639 
